"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2021","618.45","611.00","619.80","606.55","5.79M","0.67%"
"Sep 30, 2021","614.35","624.00","626.85","610.10","10.31M","-0.74%"
"Sep 29, 2021","618.90","613.65","623.35","609.30","9.10M","0.17%"
"Sep 28, 2021","617.85","632.35","639.90","613.50","18.39M","-1.59%"
"Sep 27, 2021","627.85","620.00","629.95","617.40","12.98M","2.26%"
"Sep 24, 2021","614.00","598.90","618.00","590.50","12.95M","2.63%"
"Sep 23, 2021","598.25","590.00","599.00","581.40","12.92M","2.09%"
"Sep 22, 2021","586.00","568.30","588.90","567.00","13.36M","3.81%"
"Sep 21, 2021","564.50","562.30","568.50","555.45","9.05M","2.17%"
"Sep 20, 2021","552.50","560.00","562.60","548.00","8.39M","-2.57%"
"Sep 17, 2021","567.10","579.00","580.25","562.05","9.41M","-1.62%"
"Sep 16, 2021","576.45","562.00","584.30","562.00","17.65M","1.47%"
"Sep 15, 2021","568.10","557.00","589.80","557.00","26.55M","1.95%"
"Sep 14, 2021","557.25","560.00","563.50","554.10","7.74M","-0.38%"
"Sep 13, 2021","559.40","544.95","559.50","544.15","4.60M","2.96%"
"Sep 10, 2021","543.30","545.00","549.20","540.20","2.33M","0.26%"
"Sep 09, 2021","541.90","554.15","555.40","541.30","4.39M","-2.52%"
"Sep 08, 2021","555.90","547.50","559.00","541.50","7.05M","1.57%"
"Sep 07, 2021","547.30","552.00","554.40","542.00","3.48M","-0.62%"
"Sep 06, 2021","550.70","554.95","557.15","548.20","3.36M","-0.85%"
"Sep 03, 2021","555.40","551.60","556.90","550.45","5.48M","0.85%"
"Sep 02, 2021","550.70","542.05","556.20","538.10","10.45M","1.69%"
"Sep 01, 2021","541.55","537.10","541.75","534.80","4.96M","1.49%"
"Aug 31, 2021","533.60","540.00","540.40","531.55","5.19M","-1.06%"
"Aug 30, 2021","539.30","539.50","540.95","536.35","2.56M","0.28%"
"Aug 27, 2021","537.80","533.50","538.20","533.10","3.08M","1.15%"
"Aug 26, 2021","531.70","538.00","538.85","531.50","3.98M","-1.26%"
"Aug 25, 2021","538.50","544.50","545.75","536.55","4.32M","-1.19%"
"Aug 24, 2021","545.00","545.90","549.55","539.25","5.43M","0.03%"
"Aug 23, 2021","544.85","538.00","545.45","536.10","3.43M","2.03%"
"Aug 20, 2021","534.00","537.50","538.35","530.10","3.35M","-0.71%"
"Aug 19, 2021","537.80","544.00","547.75","531.45","11.55M","-1.67%"
"Aug 18, 2021","546.95","557.80","559.90","542.25","8.54M","-1.45%"
"Aug 17, 2021","555.00","562.95","563.00","552.90","9.55M","-1.67%"
"Aug 16, 2021","564.40","556.75","567.65","551.50","15.44M","1.05%"
"Aug 13, 2021","558.55","565.40","568.70","555.00","4.78M","-1.30%"
"Aug 12, 2021","565.90","561.45","567.85","557.20","5.49M","0.73%"
"Aug 11, 2021","561.80","564.00","568.40","558.85","4.54M","-0.13%"
"Aug 10, 2021","562.55","547.50","564.10","547.00","7.90M","3.22%"
"Aug 09, 2021","545.00","539.60","548.00","535.25","7.33M","0.02%"
"Aug 06, 2021","544.90","548.95","552.40","544.05","4.44M","-0.57%"
"Aug 05, 2021","548.00","542.50","548.70","538.15","5.51M","0.83%"
"Aug 04, 2021","543.50","551.50","553.20","542.80","4.38M","-1.36%"
"Aug 03, 2021","551.00","547.70","551.00","542.20","3.43M","0.39%"
"Aug 02, 2021","548.85","545.00","550.80","541.25","5.24M","0.80%"
"Jul 30, 2021","544.50","552.40","554.80","539.55","5.24M","-1.71%"
"Jul 29, 2021","554.00","555.70","558.10","550.75","3.64M","-0.05%"
"Jul 28, 2021","554.25","551.00","555.70","550.50","2.44M","0.55%"
"Jul 27, 2021","551.20","551.50","553.90","547.15","1.97M","-0.27%"
"Jul 26, 2021","552.70","546.00","552.90","540.20","3.11M","0.70%"
"Jul 23, 2021","548.85","554.90","556.00","545.20","2.50M","-0.87%"
"Jul 22, 2021","553.65","553.00","556.25","549.35","3.43M","0.32%"
"Jul 21, 2021","551.90","546.50","553.10","543.20","3.75M","0.80%"
"Jul 20, 2021","547.50","547.50","550.60","536.70","5.16M","0.66%"
"Jul 19, 2021","543.90","558.00","559.40","543.25","8.44M","-3.47%"
"Jul 16, 2021","563.45","560.60","570.40","556.85","4.38M","0.17%"
"Jul 15, 2021","562.50","567.00","568.00","556.30","6.02M","-1.14%"
"Jul 14, 2021","569.00","576.00","582.95","568.80","15.59M","-1.22%"
"Jul 13, 2021","576.00","578.60","584.10","573.00","7.73M","-0.52%"
"Jul 12, 2021","579.00","577.00","579.40","570.50","4.53M","0.20%"
"Jul 09, 2021","577.85","581.10","586.75","574.10","16.85M","-0.56%"
"Jul 08, 2021","581.10","579.00","582.00","572.65","13.96M","0.15%"
"Jul 07, 2021","580.25","571.05","583.00","570.00","14.47M","1.62%"
"Jul 06, 2021","571.00","570.00","580.55","565.35","20.64M","0.62%"
"Jul 05, 2021","567.50","567.90","569.90","561.00","3.91M","0.09%"
"Jul 02, 2021","567.00","580.10","585.90","562.85","13.34M","-2.49%"
"Jul 01, 2021","581.45","568.85","586.95","568.85","34.23M","1.79%"
"Jun 30, 2021","571.20","554.90","571.80","551.70","14.69M","3.28%"
"Jun 29, 2021","553.05","554.70","558.75","548.00","5.99M","-0.35%"
"Jun 28, 2021","555.00","564.70","564.95","553.05","7.22M","-1.72%"
"Jun 25, 2021","564.70","566.00","566.40","560.65","3.78M","-0.22%"
"Jun 24, 2021","565.95","570.40","572.90","565.05","15.29M","-0.79%"
"Jun 23, 2021","570.45","553.30","571.40","553.30","19.21M","3.37%"
"Jun 22, 2021","551.85","543.00","553.20","542.05","7.53M","1.97%"
"Jun 21, 2021","541.20","541.95","542.80","534.25","5.19M","0.04%"
"Jun 18, 2021","541.00","537.50","543.40","526.75","11.47M","0.74%"
"Jun 17, 2021","537.00","540.00","543.85","534.00","15.04M","-0.79%"
"Jun 16, 2021","541.25","537.65","545.75","536.45","6.75M","0.97%"
"Jun 15, 2021","536.05","538.85","542.00","532.35","5.53M","-0.29%"
"Jun 14, 2021","537.60","531.60","541.85","530.70","4.30M","0.40%"
